2025/11/12 17:41:57 INFO mlflow.projects.utils: === Created directory /tmp/tmpq64t5c5i for downloading remote URIs passed to arguments of type 'path' ===
2025/11/12 17:41:57 INFO mlflow.projects.backend.local: === Running command 'python run.py --training_threshold=-1000000000000 --deploy=0 --project_name=freeway_experiments --parent_run_id='' --preprocessor='' --env='Taxi with Fuel' --sliding_window_size=100 --num_episodes=10000 --eval_interval=9 --alpha=0.99 --rl_algorithm=qreinforce --prism_dir=../prism_files --prism_file_path=freeway.prism --constant_definitions='' --prop='' --reward_flag=1 --max_steps=100 --disabled_features='' --wrong_action_penalty=1000 --postprocessor='' --layers=2 --neurons=64 --replay_buffer_size=300000 --epsilon=1 --epsilon_dec=0.9999 --epsilon_min=0.1 --gamma=0.99 --replace=304 --lr=0.01 --batch_size=32 --noise_scale=0.01 --prob_threshold=0 --task safe_training --seed 128 --interpreter '' --range_plotting 1' in run with ID '1bf5c58a4d304ea8b2e38465e6e902b0' === 
Set Seed to 128
/workspaces/coolmc/mlruns/437278008735162994/fb883d5ba68041cb9674883a2528efe3/artifacts/model
Warning: Model checkpoint not found at /workspaces/coolmc/mlruns/437278008735162994/fb883d5ba68041cb9674883a2528efe3/artifacts/model/quantum_reinforce.pth
Agent loaded.
0 Episode	Reward 0.0 	Average Reward 0.0 	Last Property Result: None
66 Episode	Reward 1.0 	Average Reward 0.07462686567164178 	Last Property Result: None
67 Episode	Reward 0.0 	Average Reward 0.07352941176470588 	Last Property Result: None
68 Episode	Reward 0.0 	Average Reward 0.07246376811594203 	Last Property Result: None
69 Episode	Reward 0.0 	Average Reward 0.07142857142857142 	Last Property Result: None
70 Episode	Reward 0.0 	Average Reward 0.07042253521126761 	Last Property Result: None
71 Episode	Reward 0.0 	Average Reward 0.06944444444444445 	Last Property Result: None
72 Episode	Reward 0.0 	Average Reward 0.0684931506849315 	Last Property Result: None
73 Episode	Reward 0.0 	Average Reward 0.06756756756756757 	Last Property Result: None
74 Episode	Reward 0.0 	Average Reward 0.06666666666666667 	Last Property Result: None
75 Episode	Reward 0.0 	Average Reward 0.06578947368421052 	Last Property Result: None
76 Episode	Reward 0.0 	Average Reward 0.06493506493506493 	Last Property Result: None
77 Episode	Reward 0.0 	Average Reward 0.0641025641025641 	Last Property Result: None
78 Episode	Reward 0.0 	Average Reward 0.06329113924050633 	Last Property Result: None
79 Episode	Reward 0.0 	Average Reward 0.0625 	Last Property Result: None
80 Episode	Reward 0.0 	Average Reward 0.06172839506172839 	Last Property Result: None
81 Episode	Reward 0.0 	Average Reward 0.06097560975609756 	Last Property Result: None
82 Episode	Reward 0.0 	Average Reward 0.060240963855421686 	Last Property Result: None
83 Episode	Reward 0.0 	Average Reward 0.05952380952380952 	Last Property Result: None
84 Episode	Reward 1.0 	Average Reward 0.07058823529411765 	Last Property Result: None
85 Episode	Reward 0.0 	Average Reward 0.06976744186046512 	Last Property Result: None
86 Episode	Reward 0.0 	Average Reward 0.06896551724137931 	Last Property Result: None
87 Episode	Reward 0.0 	Average Reward 0.06818181818181818 	Last Property Result: None
88 Episode	Reward 0.0 	Average Reward 0.06741573033707865 	Last Property Result: None
89 Episode	Reward 0.0 	Average Reward 0.06666666666666667 	Last Property Result: None
90 Episode	Reward 0.0 	Average Reward 0.06593406593406594 	Last Property Result: None
91 Episode	Reward 0.0 	Average Reward 0.06521739130434782 	Last Property Result: None
92 Episode	Reward 0.0 	Average Reward 0.06451612903225806 	Last Property Result: None
93 Episode	Reward 0.0 	Average Reward 0.06382978723404255 	Last Property Result: None
94 Episode	Reward 0.0 	Average Reward 0.06315789473684211 	Last Property Result: None
95 Episode	Reward 1.0 	Average Reward 0.07291666666666667 	Last Property Result: None
96 Episode	Reward 1.0 	Average Reward 0.08247422680412371 	Last Property Result: None
97 Episode	Reward 0.0 	Average Reward 0.08163265306122448 	Last Property Result: None
98 Episode	Reward 0.0 	Average Reward 0.08080808080808081 	Last Property Result: None
99 Episode	Reward 0.0 	Average Reward 0.08 	Last Property Result: None
100 Episode	Reward 0.0 	Average Reward 0.08 	Last Property Result: None
101 Episode	Reward 0.0 	Average Reward 0.08 	Last Property Result: None
102 Episode	Reward 0.0 	Average Reward 0.08 	Last Property Result: None
103 Episode	Reward 0.0 	Average Reward 0.08 	Last Property Result: None
104 Episode	Reward 0.0 	Average Reward 0.08 	Last Property Result: None
105 Episode	Reward 0.0 	Average Reward 0.08 	Last Property Result: None
106 Episode	Reward 0.0 	Average Reward 0.08 	Last Property Result: None
107 Episode	Reward 0.0 	Average Reward 0.08 	Last Property Result: None
108 Episode	Reward 0.0 	Average Reward 0.08 	Last Property Result: None
109 Episode	Reward 0.0 	Average Reward 0.08 	Last Property Result: None
110 Episode	Reward 1.0 	Average Reward 0.09 	Last Property Result: None
111 Episode	Reward 0.0 	Average Reward 0.08 	Last Property Result: None
112 Episode	Reward 0.0 	Average Reward 0.08 	Last Property Result: None
113 Episode	Reward 0.0 	Average Reward 0.08 	Last Property Result: None
114 Episode	Reward 0.0 	Average Reward 0.08 	Last Property Result: None
115 Episode	Reward 0.0 	Average Reward 0.08 	Last Property Result: None
116 Episode	Reward 0.0 	Average Reward 0.08 	Last Property Result: None
117 Episode	Reward 1.0 	Average Reward 0.09 	Last Property Result: None
118 Episode	Reward 0.0 	Average Reward 0.09 	Last Property Result: None
119 Episode	Reward 0.0 	Average Reward 0.09 	Last Property Result: None
120 Episode	Reward 0.0 	Average Reward 0.09 	Last Property Result: None
121 Episode	Reward 0.0 	Average Reward 0.09 	Last Property Result: None
122 Episode	Reward 0.0 	Average Reward 0.09 	Last Property Result: None
123 Episode	Reward 0.0 	Average Reward 0.09 	Last Property Result: None
124 Episode	Reward 0.0 	Average Reward 0.09 	Last Property Result: None
125 Episode	Reward 0.0 	Average Reward 0.09 	Last Property Result: None
126 Episode	Reward 0.0 	Average Reward 0.09 	Last Property Result: None
127 Episode	Reward 0.0 	Average Reward 0.09 	Last Property Result: None
128 Episode	Reward 0.0 	Average Reward 0.09 	Last Property Result: None
129 Episode	Reward 0.0 	Average Reward 0.09 	Last Property Result: None
130 Episode	Reward 0.0 	Average Reward 0.09 	Last Property Result: None
131 Episode	Reward 0.0 	Average Reward 0.09 	Last Property Result: None
132 Episode	Reward 0.0 	Average Reward 0.08 	Last Property Result: None
133 Episode	Reward 0.0 	Average Reward 0.08 	Last Property Result: None
134 Episode	Reward 0.0 	Average Reward 0.07 	Last Property Result: None
